features_id,id,floorCount,architectureType,exteriorType,foundationType,roofType,fireplace,unitCount,garage,garageSpaces,garageType,cooling,coolingType,heating,heatingType,roomCount,pool,fireplaceType,poolType,squareFootage,bedrooms,bathrooms
186,"6929-Trail-Lk,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,5.0,,,,1264.0,3.0,2.0
187,"6911-Trail-Lk,-San-Antonio,-TX-78244",1.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1712.0,3.0,2.0
188,"6907-Trail-Lk,-San-Antonio,-TX-78244",2.0,Contemporary,Aluminum / Vinyl Siding,Slab / Mat / Raft,Asphalt,True,1.0,True,1.0,Attached,True,Central,True,Forced Air,6.0,,,,1527.0,3.0,2.0
189,"6954-Lakeview-Dr,-San-Antonio,-TX-78244",,Multi-Unit Building,,Slab / Mat / Raft,Asphalt,,,True,2.0,Attached,True,Central,True,Forced Air,,,,,2606.0,6.0,6.0
190,"7016-Atherton,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,2.0,True,2.0,Attached,True,Central,True,Forced Air,9.0,,,,2093.0,5.0,3.0
191,"6922-Trail-Lk,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1232.0,3.0,2.0
192,"6935-Trail-Lk,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,1.0,True,1.0,Attached,True,Central,True,Forced Air,5.0,True,,Above-Ground Pool,1302.0,3.0,2.0
193,"6919-Trail-Lk,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Garage,True,Central,True,Forced Air,5.0,,,,1302.0,3.0,2.0
194,"5311-Lakebend-East-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Siding,Slab,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1332.0,3.0,2.0
195,"7010-Atherton,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,2.0,True,2.0,Attached,True,Central,True,Forced Air,10.0,,,,1973.0,5.0,4.0
196,"7032-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,1824.0,4.0,2.0
197,"5314-Lake,-Golden,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,1.0,True,1.0,Attached,True,Central,True,Forced Air,6.0,,,,1304.0,3.0,2.0
198,"7008-Atherton,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,2.0,True,2.0,Attached,True,Central,True,Forced Air,8.0,,,,1696.0,4.0,2.0
